activationBonusAchieved,autoChargeStationRobot1,autoChargeStationRobot2,autoChargeStationRobot3,autoDocked,autoMobilityScore,autoNumPieces,autoPieceScore,autoPoints,chargeStationPoints,chargeStationState,team1,team2,team3,teleopPoints
0,None,None,None,0,3,2,12,15,20,NotLevel,frc8880,frc5148,frc1625,49
1,None,Docked,None,1,0,3,13,21,28,NotLevel,frc4702,frc379,frc1739,29
1,None,None,Docked,1,0,0,0,8,28,NotLevel,frc2506,frc4645,frc7460,39
0,Docked,None,None,1,3,2,12,27,12,Level,frc111,frc2077,frc4787,32
0,None,None,None,0,3,2,10,13,10,NotLevel,frc6651,frc4645,frc5125,26
0,None,None,None,0,6,2,12,18,6,NotLevel,frc3488,frc112,frc4645,61
0,None,None,None,0,6,3,12,18,20,Level,frc8096,frc2830,frc5934,69
1,None,Docked,None,1,6,2,12,26,28,NotLevel,frc4645,frc677,frc48,55
1,None,Docked,None,1,3,2,12,23,28,NotLevel,frc4327,frc1781,frc3067,65
1,Docked,None,None,1,6,4,22,40,32,Level,frc1781,frc4645,frc930,69
0,None,Docked,None,1,9,2,12,29,8,NotLevel,frc2077,frc4645,frc8880,21
1,Docked,None,None,1,3,2,9,24,32,Level,frc5484,frc4314,frc7417,46
1,None,Docked,None,1,6,3,18,36,32,Level,frc5442,frc27,frc6237,75
1,None,Docked,None,1,6,4,21,39,32,Level,frc5484,frc4645,frc2481,61
1,None,None,Docked,1,6,3,15,33,32,Level,frc1736,frc4645,frc4143,73
0,None,None,None,0,6,2,10,16,20,Level,frc4645,frc6651,frc1208,42
1,None,Docked,None,1,6,2,12,30,32,Level,frc234,frc4645,frc5847,72
0,None,None,None,0,9,2,9,18,20,NotLevel,frc6317,frc1736,frc4187,76
0,None,Docked,None,1,6,4,22,40,24,Level,frc2481,frc234,frc3695,39
0,None,Docked,None,1,9,3,16,33,8,NotLevel,frc6237,frc4143,frc3695,51
0,None,None,None,0,6,2,9,15,20,NotLevel,frc4645,frc2080,frc6317,47
1,None,Docked,None,1,9,3,16,37,42,Level,frc4655,frc4213,frc4645,57
0,Docked,None,None,1,9,2,12,33,24,Level,frc5484,frc1736,frc2039,56
0,None,None,None,0,6,2,10,16,20,Level,frc4645,frc2040,frc5847,46
0,None,Docked,None,1,3,2,10,21,38,NotLevel,frc6317,frc4645,frc5847,52
